index,tmc_code,start_time,stop_time,length,closure_time,event_id
249,116P04726,2019-03-05 09:00:00,2019-03-05 13:59:59,0.055842,0 days 04:59:59,45
281,116N04727,2019-03-05 09:00:00,2019-03-05 16:59:59,0.261073,0 days 07:59:59,45
278,116P10750,2019-03-05 09:00:00,2019-03-05 13:59:59,0.022328,0 days 04:59:59,45
272,116N04726,2019-03-05 09:00:00,2019-03-05 10:59:59,0.032289,0 days 01:59:59,45
269,116N04725,2019-03-05 09:00:00,2019-03-05 09:59:59,0.453175,0 days 00:59:59,45
256,116-04727,2019-03-05 09:00:00,2019-03-05 16:59:59,1.517568,0 days 07:59:59,45
255,116-04726,2019-03-05 09:00:00,2019-03-05 16:59:59,1.654875,0 days 07:59:59,45
243,116P04728,2019-03-05 09:00:00,2019-03-05 13:59:59,0.402072,0 days 04:59:59,45
246,116P04727,2019-03-05 09:00:00,2019-03-05 13:59:59,1.104073,0 days 04:59:59,45
229,116-10750,2019-03-05 09:00:00,2019-03-05 16:59:59,1.095514,0 days 07:59:59,45
234,116+04728,2019-03-05 09:00:00,2019-03-05 13:59:59,1.340088,0 days 04:59:59,45
228,116N10750,2019-03-05 09:00:00,2019-03-05 16:59:59,0.015664,0 days 07:59:59,45
232,116+04727,2019-03-05 09:00:00,2019-03-05 13:59:59,0.402792,0 days 04:59:59,45
226,116+10750,2019-03-05 09:00:00,2019-03-05 13:59:59,1.612578,0 days 04:59:59,45
282,116N04728,2019-03-05 10:00:00,2019-03-05 11:59:59,0.380822,0 days 01:59:59,45
267,116N04722,2019-03-05 11:00:00,2019-03-05 11:59:59,0.482547,0 days 00:59:59,45
265,116+04723,2019-03-05 11:00:00,2019-03-05 11:59:59,2.800816,0 days 00:59:59,45
274,116N04723,2019-03-05 11:00:00,2019-03-05 11:59:59,0.355681,0 days 00:59:59,45
268,116N04720,2019-03-05 11:00:00,2019-03-05 11:59:59,0.515226,0 days 00:59:59,45
266,116N04721,2019-03-05 11:00:00,2019-03-05 11:59:59,0.232318,0 days 00:59:59,45
