tmc_code,measurement_tstamp,speed,historical_average_speed,reference_speed,travel_time_minutes,data_density,speed_norm
116N04237,2/1/2019 0:00,55.85,56,71,0.84,C,0.15
116N04237,2/1/2019 1:00,46.79,53,71,1,B,6.21
116N04237,2/1/2019 2:00,52.79,55,71,0.89,B,2.21
116N04237,2/1/2019 3:00,45.48,55,71,1.03,B,9.52
116N04237,2/1/2019 4:00,55.71,59,71,0.84,B,3.29
116N04237,2/1/2019 5:00,56.91,64,71,0.83,C,7.09
116N04237,2/1/2019 6:00,62.67,65,71,0.75,C,2.33
116N04237,2/1/2019 7:00,64.83,63,71,0.73,C,-1.83
116N04237,2/1/2019 8:00,58.47,61,71,0.8,C,2.53
116N04237,2/1/2019 9:00,61.05,64,71,0.77,C,2.95
116N04237,2/1/2019 10:00,64.19,63,71,0.73,C,-1.19
116N04237,2/1/2019 11:00,62.02,64,71,0.76,C,1.98
116N04237,2/1/2019 12:00,64.27,64,71,0.73,C,-0.27
116N04237,2/1/2019 13:00,67.3,64,71,0.7,C,-3.3
116N04237,2/1/2019 14:00,61.88,62,71,0.76,C,0.12
116N04237,2/1/2019 15:00,61.64,64,71,0.76,C,2.36
116N04237,2/1/2019 16:00,65.01,63,71,0.72,C,-2.01
116N04237,2/1/2019 17:00,64.13,64,71,0.73,C,-0.13
116N04237,2/1/2019 18:00,61.93,65,71,0.76,C,3.07
116N04237,2/1/2019 19:00,61.63,62,71,0.76,C,0.37
116N04237,2/1/2019 20:00,62.62,59,71,0.75,C,-3.62
116N04237,2/1/2019 21:00,60.56,62,71,0.78,C,1.44
116N04237,2/1/2019 22:00,65.36,60,71,0.72,C,-5.36
116N04237,2/1/2019 23:00,59.18,59,71,0.79,C,-0.18
116N04238,2/1/2019 0:00,44.3,48,67,0.65,C,3.7
116N04238,2/1/2019 1:00,40.99,46,67,0.7,C,5.01
116N04238,2/1/2019 2:00,43.72,47,67,0.66,B,3.28
116N04238,2/1/2019 3:00,40.17,48,67,0.72,B,7.83
116N04238,2/1/2019 4:00,44.4,53,67,0.65,B,8.6
116N04238,2/1/2019 5:00,52.96,58,67,0.54,C,5.04
116N04238,2/1/2019 6:00,54.86,60,67,0.52,C,5.14
116N04238,2/1/2019 7:00,58.07,59,67,0.5,C,0.93
116N04238,2/1/2019 8:00,52.33,60,67,0.55,C,7.67
116N04238,2/1/2019 9:00,51.76,59,67,0.56,C,7.24
116N04238,2/1/2019 10:00,59.34,58,67,0.49,C,-1.34
116N04238,2/1/2019 11:00,55.3,59,67,0.52,C,3.7
116N04238,2/1/2019 12:00,63.34,60,67,0.45,C,-3.34
116N04238,2/1/2019 13:00,57.85,60,67,0.5,C,2.15
116N04238,2/1/2019 14:00,52.99,59,67,0.54,C,6.01
116N04238,2/1/2019 15:00,57.52,59,67,0.5,C,1.48
116N04238,2/1/2019 16:00,60.36,59,67,0.48,C,-1.36
116N04238,2/1/2019 17:00,59.87,60,67,0.48,C,0.13
116N04238,2/1/2019 18:00,56.89,60,67,0.51,C,3.11
116N04238,2/1/2019 19:00,52.82,59,67,0.54,C,6.18
116N04238,2/1/2019 20:00,57.78,60,67,0.5,C,2.22
116N04238,2/1/2019 21:00,54.79,59,67,0.53,C,4.21
116N04238,2/1/2019 22:00,54.24,58,67,0.53,C,3.76
116N04238,2/1/2019 23:00,47.69,57,67,0.6,C,9.31
116N04235,2/1/2019 0:00,63.13,61,71,0.1,B,-2.13
116N04235,2/1/2019 1:00,57.01,60,71,0.11,C,2.99
116N04235,2/1/2019 2:00,60.77,60,71,0.1,B,-0.77
116N04235,2/1/2019 3:00,55.59,61,71,0.11,B,5.41
116N04235,2/1/2019 4:00,61.8,63,71,0.1,B,1.2
116N04235,2/1/2019 5:00,62.62,65,71,0.1,C,2.38
116N04235,2/1/2019 6:00,65.6,67,71,0.09,C,1.4
116N04235,2/1/2019 7:00,67.74,63,71,0.09,C,-4.74
116N04235,2/1/2019 8:00,63.44,48,71,0.1,C,-15.44
116N04235,2/1/2019 9:00,65.08,65,71,0.1,C,-0.08
116N04235,2/1/2019 10:00,67.17,66,71,0.09,C,-1.17
116N04235,2/1/2019 11:00,64.72,67,71,0.1,C,2.28
116N04235,2/1/2019 12:00,66.29,68,71,0.09,C,1.71
116N04235,2/1/2019 13:00,67.53,67,71,0.09,C,-0.53
116N04235,2/1/2019 14:00,63.46,65,71,0.1,C,1.54
