Latitude ,Longitude ,Site Id,Date,Time,TOBS.I-1 (degC),SNWD.I-1 (in),SNWD (excluding 99.9),DateTime ,12 hour difference,trigger 
39.6,-106.55,1040,2019-02-01,0:00,-7.2,37,37,"43,497.00",,
39.6,-106.55,1040,2019-02-01,1:00,-7,37,37,"43,497.04",,
39.6,-106.55,1040,2019-02-01,2:00,-7.2,37,37,"43,497.08",,
39.6,-106.55,1040,2019-02-01,3:00,-6.5,37,37,"43,497.13",,
39.6,-106.55,1040,2019-02-01,4:00,-5.7,37,37,"43,497.17",,
39.6,-106.55,1040,2019-02-01,5:00,-5.6,37,37,"43,497.21",,
39.6,-106.55,1040,2019-02-01,6:00,-6,37,37,"43,497.25",,
39.6,-106.55,1040,2019-02-01,7:00,-6.7,38,38,"43,497.29",,
39.6,-106.55,1040,2019-02-01,8:00,-1.5,36,36,"43,497.33",,
39.6,-106.55,1040,2019-02-01,9:00,-0.3,35,35,"43,497.38",,
39.6,-106.55,1040,2019-02-01,10:00,1.7,35,35,"43,497.42",,
39.6,-106.55,1040,2019-02-01,11:00,4.1,35,35,"43,497.46",,
39.6,-106.55,1040,2019-02-01,12:00,4.5,34,34,"43,497.50",-3,
39.6,-106.55,1040,2019-02-01,13:00,5.8,34,34,"43,497.54",-3,
39.6,-106.55,1040,2019-02-01,14:00,3.8,35,35,"43,497.58",-2,
39.6,-106.55,1040,2019-02-01,15:00,3.4,35,35,"43,497.63",-2,
39.6,-106.55,1040,2019-02-01,16:00,-2.9,37,37,"43,497.67",0,
39.6,-106.55,1040,2019-02-01,17:00,-4.2,37,37,"43,497.71",0,
39.6,-106.55,1040,2019-02-01,18:00,-4.2,37,37,"43,497.75",0,
39.6,-106.55,1040,2019-02-01,19:00,-4.5,37,37,"43,497.79",-1,
39.6,-106.55,1040,2019-02-01,20:00,-5.2,37,37,"43,497.83",1,
39.6,-106.55,1040,2019-02-01,21:00,-6.7,38,38,"43,497.88",3,Trigger
39.6,-106.55,1040,2019-02-01,22:00,-6.7,37,37,"43,497.92",2,
39.6,-106.55,1040,2019-02-01,23:00,-5,37,37,"43,497.96",2,
39.6,-106.55,1040,2019-02-02,0:00,-5.2,37,37,"43,498.00",3,Trigger
39.6,-106.55,1040,2019-02-02,1:00,-5.4,37,37,"43,498.04",3,Trigger
39.6,-106.55,1040,2019-02-02,2:00,-5.9,37,37,"43,498.08",2,
39.6,-106.55,1040,2019-02-02,3:00,-4.9,37,37,"43,498.13",2,
39.6,-106.55,1040,2019-02-02,4:00,-5.6,37,37,"43,498.17",0,
39.6,-106.55,1040,2019-02-02,5:00,-5.2,37,37,"43,498.21",0,
39.6,-106.55,1040,2019-02-02,6:00,-4.7,37,37,"43,498.25",0,
39.6,-106.55,1040,2019-02-02,7:00,-5.2,37,37,"43,498.29",0,
39.6,-106.55,1040,2019-02-02,8:00,0.4,35,35,"43,498.33",-2,
