Latitude ,Longitude ,Site Id,Date,Time,TOBS.I-1 (degC),SNWD.I-1 (in),SNWD (excluding 99.9),DateTime ,12 hour difference,trigger 
39.65,-105.6,936,2019-02-01,0:00,-8.5,20,20,"43,497.00",,
39.65,-105.6,936,2019-02-01,1:00,-8.9,20,20,"43,497.04",,
39.65,-105.6,936,2019-02-01,2:00,-9.8,20,20,"43,497.08",,
39.65,-105.6,936,2019-02-01,3:00,-10.2,21,21,"43,497.13",,
39.65,-105.6,936,2019-02-01,4:00,-10.1,21,21,"43,497.17",,
39.65,-105.6,936,2019-02-01,5:00,-9.8,21,21,"43,497.21",,
39.65,-105.6,936,2019-02-01,6:00,-9.8,21,21,"43,497.25",,
39.65,-105.6,936,2019-02-01,7:00,-9.1,21,21,"43,497.29",,
39.65,-105.6,936,2019-02-01,8:00,-6.3,21,21,"43,497.33",,
39.65,-105.6,936,2019-02-01,9:00,-2.6,20,20,"43,497.38",,
39.65,-105.6,936,2019-02-01,10:00,1.3,20,20,"43,497.42",,
39.65,-105.6,936,2019-02-01,11:00,3.6,20,20,"43,497.46",,
39.65,-105.6,936,2019-02-01,12:00,2.8,19,19,"43,497.50",-1,
39.65,-105.6,936,2019-02-01,13:00,2.7,19,19,"43,497.54",-1,
39.65,-105.6,936,2019-02-01,14:00,2,19,19,"43,497.58",-1,
39.65,-105.6,936,2019-02-01,15:00,-1.8,20,20,"43,497.63",-1,
39.65,-105.6,936,2019-02-01,16:00,-3.6,19,19,"43,497.67",-2,
39.65,-105.6,936,2019-02-01,17:00,-5.5,19,19,"43,497.71",-2,
39.65,-105.6,936,2019-02-01,18:00,-7,20,20,"43,497.75",-1,
39.65,-105.6,936,2019-02-01,19:00,-8.3,20,20,"43,497.79",-1,
39.65,-105.6,936,2019-02-01,20:00,-9.1,20,20,"43,497.83",-1,
39.65,-105.6,936,2019-02-01,21:00,-9.7,19,19,"43,497.88",-1,
39.65,-105.6,936,2019-02-01,22:00,-9.8,20,20,"43,497.92",0,
39.65,-105.6,936,2019-02-01,23:00,-9.1,20,20,"43,497.96",0,
39.65,-105.6,936,2019-02-02,0:00,-9.2,20,20,"43,498.00",1,
39.65,-105.6,936,2019-02-02,1:00,-8.9,20,20,"43,498.04",1,
39.65,-105.6,936,2019-02-02,2:00,-8.4,20,20,"43,498.08",1,
39.65,-105.6,936,2019-02-02,3:00,-5.7,20,20,"43,498.13",0,
39.65,-105.6,936,2019-02-02,4:00,-1.2,20,20,"43,498.17",1,
39.65,-105.6,936,2019-02-02,5:00,-0.7,20,20,"43,498.21",1,
39.65,-105.6,936,2019-02-02,6:00,-1.4,20,20,"43,498.25",0,
39.65,-105.6,936,2019-02-02,7:00,-1.5,20,20,"43,498.29",0,
39.65,-105.6,936,2019-02-02,8:00,0.1,20,20,"43,498.33",0,
39.65,-105.6,936,2019-02-02,9:00,1.2,18,18,"43,498.38",-1,
39.65,-105.6,936,2019-02-02,10:00,3.9,18,18,"43,498.42",-2,
39.65,-105.6,936,2019-02-02,11:00,3.6,18,18,"43,498.46",-2,
39.65,-105.6,936,2019-02-02,12:00,3,19,19,"43,498.50",-1,
39.65,-105.6,936,2019-02-02,13:00,2.6,19,19,"43,498.54",-1,
39.65,-105.6,936,2019-02-02,14:00,3,18,18,"43,498.58",-2,
39.65,-105.6,936,2019-02-02,15:00,1.7,18,18,"43,498.63",-2,
39.65,-105.6,936,2019-02-02,16:00,0.4,18,18,"43,498.67",-2,
39.65,-105.6,936,2019-02-02,17:00,0,20,20,"43,498.71",0,
39.65,-105.6,936,2019-02-02,18:00,1.1,19,19,"43,498.75",-1,
39.65,-105.6,936,2019-02-02,19:00,0.4,19,19,"43,498.79",-1,
39.65,-105.6,936,2019-02-02,20:00,0.3,19,19,"43,498.83",-1,
39.65,-105.6,936,2019-02-02,21:00,-2.6,20,20,"43,498.88",2,
39.65,-105.6,936,2019-02-02,22:00,-0.8,19,19,"43,498.92",1,
39.65,-105.6,936,2019-02-02,23:00,0.3,19,19,"43,498.96",1,
39.65,-105.6,936,2019-02-03,0:00,-0.1,20,20,"43,499.00",1,
39.65,-105.6,936,2019-02-03,1:00,-0.3,19,19,"43,499.04",0,
39.65,-105.6,936,2019-02-03,2:00,0.4,20,20,"43,499.08",2,
39.65,-105.6,936,2019-02-03,3:00,0,20,20,"43,499.13",2,
39.65,-105.6,936,2019-02-03,4:00,-2.3,19,19,"43,499.17",1,
39.65,-105.6,936,2019-02-03,5:00,1.3,19,19,"43,499.21",-1,
39.65,-105.6,936,2019-02-03,6:00,0.2,19,19,"43,499.25",0,
39.65,-105.6,936,2019-02-03,7:00,1.3,18,18,"43,499.29",-1,
39.65,-105.6,936,2019-02-03,8:00,2.1,19,19,"43,499.33",0,
39.65,-105.6,936,2019-02-03,9:00,1.7,19,19,"43,499.38",-1,
39.65,-105.6,936,2019-02-03,10:00,2.5,19,19,"43,499.42",0,
39.65,-105.6,936,2019-02-03,11:00,3.5,19,19,"43,499.46",0,
39.65,-105.6,936,2019-02-03,12:00,2.4,19,19,"43,499.50",-1,
39.65,-105.6,936,2019-02-03,13:00,1.4,19,19,"43,499.54",0,
39.65,-105.6,936,2019-02-03,14:00,0.1,19,19,"43,499.58",-1,
39.65,-105.6,936,2019-02-03,15:00,-2.4,19,19,"43,499.63",-1,
39.65,-105.6,936,2019-02-03,16:00,-2.7,20,20,"43,499.67",1,
39.65,-105.6,936,2019-02-03,17:00,-3.1,20,20,"43,499.71",1,
39.65,-105.6,936,2019-02-03,18:00,-4.1,20,20,"43,499.75",1,
39.65,-105.6,936,2019-02-03,19:00,-4.7,20,20,"43,499.79",2,
39.65,-105.6,936,2019-02-03,20:00,-5.3,20,20,"43,499.83",1,
39.65,-105.6,936,2019-02-03,21:00,-5.3,20,20,"43,499.88",1,
39.65,-105.6,936,2019-02-03,22:00,-5.5,20,20,"43,499.92",1,
39.65,-105.6,936,2019-02-03,23:00,-5.4,20,20,"43,499.96",1,
39.65,-105.6,936,2019-02-04,0:00,-5.6,20,20,"43,500.00",1,
39.65,-105.6,936,2019-02-04,1:00,-5.6,20,20,"43,500.04",1,
39.65,-105.6,936,2019-02-04,2:00,-5.5,20,20,"43,500.08",1,
39.65,-105.6,936,2019-02-04,3:00,-5.6,20,20,"43,500.13",1,
39.65,-105.6,936,2019-02-04,4:00,-5.7,20,20,"43,500.17",0,
39.65,-105.6,936,2019-02-04,5:00,-7.8,20,20,"43,500.21",0,
39.65,-105.6,936,2019-02-04,6:00,-10.6,20,20,"43,500.25",0,
39.65,-105.6,936,2019-02-04,7:00,-9.8,20,20,"43,500.29",0,
39.65,-105.6,936,2019-02-04,8:00,-4,20,20,"43,500.33",0,
39.65,-105.6,936,2019-02-04,9:00,-1.8,19,19,"43,500.38",-1,
39.65,-105.6,936,2019-02-04,10:00,0.1,19,19,"43,500.42",-1,
39.65,-105.6,936,2019-02-04,11:00,2.3,19,19,"43,500.46",-1,
39.65,-105.6,936,2019-02-04,12:00,2.1,19,19,"43,500.50",-1,
39.65,-105.6,936,2019-02-04,13:00,1,19,19,"43,500.54",-1,
39.65,-105.6,936,2019-02-04,14:00,1.2,19,19,"43,500.58",-1,
39.65,-105.6,936,2019-02-04,15:00,-0.3,19,19,"43,500.63",-1,
39.65,-105.6,936,2019-02-04,16:00,-1.3,19,19,"43,500.67",-1,
39.65,-105.6,936,2019-02-04,17:00,-2.3,20,20,"43,500.71",0,
39.65,-105.6,936,2019-02-04,18:00,-2.4,20,20,"43,500.75",0,
39.65,-105.6,936,2019-02-04,19:00,-2.3,19,19,"43,500.79",-1,
39.65,-105.6,936,2019-02-04,20:00,-2.6,19,19,"43,500.83",-1,
39.65,-105.6,936,2019-02-04,21:00,-2.6,19,19,"43,500.88",0,
39.65,-105.6,936,2019-02-04,22:00,-2.1,20,20,"43,500.92",1,
39.65,-105.6,936,2019-02-04,23:00,-2.7,19,19,"43,500.96",0,
39.65,-105.6,936,2019-02-05,0:00,-3.2,19,19,"43,501.00",0,
39.65,-105.6,936,2019-02-05,1:00,-3.4,20,20,"43,501.04",1,
