Latitude ,Longitude ,Site Id,Date,Time,TOBS.I-1 (degC),SNWD.I-1 (in),SNWD (excluding 99.9),DateTime ,12 hour difference,trigger ,,Criteria ,Explaination,Site ID,Date,Time ,Snow Depth
39.6667,-105.9,602,2019-02-01,0:00,-8.4,51,51,"43,497.00",,,,,,602,2019-02-03,15:00,48
39.6667,-105.9,602,2019-02-01,1:00,-8.7,51,51,"43,497.04",,,,,,602,2019-02-03,16:00,49
39.6667,-105.9,602,2019-02-01,2:00,-10.3,51,51,"43,497.08",,,,2 inches in two hours ,Short duration Burst ,602,2019-02-03,17:00,50
39.6667,-105.9,602,2019-02-01,3:00,-10,50,50,"43,497.13",,,,,,,,,
39.6667,-105.9,602,2019-02-01,4:00,-10.2,51,51,"43,497.17",,,,,,602,2019-02-06,7:00,49
39.6667,-105.9,602,2019-02-01,5:00,-9.7,51,51,"43,497.21",,,,,,602,2019-02-06,8:00,50
39.6667,-105.9,602,2019-02-01,6:00,-9.9,51,51,"43,497.25",,,,,,602,2019-02-06,9:00,51
39.6667,-105.9,602,2019-02-01,7:00,-8.8,50,50,"43,497.29",,,,,,602,2019-02-06,10:00,53
39.6667,-105.9,602,2019-02-01,8:00,-8,51,51,"43,497.33",,,,,,602,2019-02-06,11:00,53
39.6667,-105.9,602,2019-02-01,9:00,-5.9,50,50,"43,497.38",,,,,,602,2019-02-06,12:00,52
39.6667,-105.9,602,2019-02-01,10:00,-3.5,50,50,"43,497.42",,,,,,602,2019-02-06,13:00,52
39.6667,-105.9,602,2019-02-01,11:00,-1.4,50,50,"43,497.46",,,,,,602,2019-02-06,14:00,53
39.6667,-105.9,602,2019-02-01,12:00,0.5,50,50,"43,497.50",-1,,,,,602,2019-02-06,15:00,53
39.6667,-105.9,602,2019-02-01,13:00,-0.3,50,50,"43,497.54",-1,,,,,602,2019-02-06,16:00,53
39.6667,-105.9,602,2019-02-01,14:00,-0.7,50,50,"43,497.58",-1,,,,,602,2019-02-06,17:00,53
39.6667,-105.9,602,2019-02-01,15:00,-3.8,49,49,"43,497.63",-1,,,,,602,2019-02-06,18:00,53
39.6667,-105.9,602,2019-02-01,16:00,-6.1,50,50,"43,497.67",-1,,,,,602,2019-02-06,19:00,53
39.6667,-105.9,602,2019-02-01,17:00,-7.3,50,50,"43,497.71",-1,,,,,602,2019-02-06,20:00,53
39.6667,-105.9,602,2019-02-01,18:00,-9.2,50,50,"43,497.75",-1,,,,,602,2019-02-06,21:00,53
