Latitude ,Longitude ,Site Id,Date,Time,TOBS.I-1 (degC),SNWD.I-1 (in),SNWD (excluding 99.9),DateTime ,12 hour difference,trigger 
39.7167,-106.15,802,2/1/2019,0:00,-13.7,31,31,"43,497.00",,
39.7167,-106.15,802,2/1/2019,1:00,-15,31,31,"43,497.04",,
39.7167,-106.15,802,2/1/2019,2:00,-15.5,31,31,"43,497.08",,
39.7167,-106.15,802,2/1/2019,3:00,-15.3,31,31,"43,497.13",,
39.7167,-106.15,802,2/1/2019,4:00,-15.4,31,31,"43,497.17",,
39.7167,-106.15,802,2/1/2019,5:00,-15.7,31,31,"43,497.21",,
39.7167,-106.15,802,2/1/2019,6:00,-15.7,30,30,"43,497.25",,
39.7167,-106.15,802,2/1/2019,7:00,-13.1,30,30,"43,497.29",,
39.7167,-106.15,802,2/1/2019,8:00,-4.2,29,29,"43,497.33",,
39.7167,-106.15,802,2/1/2019,9:00,-2.3,28,28,"43,497.38",,
39.7167,-106.15,802,2/1/2019,10:00,-0.8,29,29,"43,497.42",,
39.7167,-106.15,802,2/1/2019,11:00,1.7,28,28,"43,497.46",,
39.7167,-106.15,802,2/1/2019,12:00,0.8,28,28,"43,497.50",-3,
39.7167,-106.15,802,2/1/2019,13:00,0.2,28,28,"43,497.54",-3,
39.7167,-106.15,802,2/1/2019,14:00,0.5,28,28,"43,497.58",-3,
39.7167,-106.15,802,2/1/2019,15:00,-0.4,30,30,"43,497.63",-1,
39.7167,-106.15,802,2/1/2019,16:00,-3.5,30,30,"43,497.67",-1,
39.7167,-106.15,802,2/1/2019,17:00,-5,30,30,"43,497.71",-1,
39.7167,-106.15,802,2/1/2019,18:00,-8,30,30,"43,497.75",0,
39.7167,-106.15,802,2/1/2019,19:00,-10.3,31,31,"43,497.79",1,
39.7167,-106.15,802,2/1/2019,20:00,-9.8,31,31,"43,497.83",2,
39.7167,-106.15,802,2/1/2019,21:00,-9.8,31,31,"43,497.88",3,Trigger
39.7167,-106.15,802,2/1/2019,22:00,-11.2,31,31,"43,497.92",2,
39.7167,-106.15,802,2/1/2019,23:00,-11.5,30,30,"43,497.96",2,
39.7167,-106.15,802,2/2/2019,0:00,-13.8,31,31,"43,498.00",3,Trigger
39.7167,-106.15,802,2/2/2019,1:00,-14.3,31,31,"43,498.04",3,Trigger
39.7167,-106.15,802,2/2/2019,2:00,-14.3,31,31,"43,498.08",3,Trigger
39.7167,-106.15,802,2/2/2019,3:00,-14.4,31,31,"43,498.13",1,
39.7167,-106.15,802,2/2/2019,4:00,-14.5,31,31,"43,498.17",1,
39.7167,-106.15,802,2/2/2019,5:00,-15.2,31,31,"43,498.21",1,
39.7167,-106.15,802,2/2/2019,6:00,-16,31,31,"43,498.25",1,
39.7167,-106.15,802,2/2/2019,7:00,-12.6,30,30,"43,498.29",-1,
39.7167,-106.15,802,2/2/2019,8:00,-6.1,29,29,"43,498.33",-2,
39.7167,-106.15,802,2/2/2019,9:00,-1.8,28,28,"43,498.38",-3,
39.7167,-106.15,802,2/2/2019,10:00,-1.1,29,29,"43,498.42",-2,
39.7167,-106.15,802,2/2/2019,11:00,1,29,29,"43,498.46",-1,
39.7167,-106.15,802,2/2/2019,12:00,1.4,29,29,"43,498.50",-2,
39.7167,-106.15,802,2/2/2019,13:00,2.9,28,28,"43,498.54",-3,
39.7167,-106.15,802,2/2/2019,14:00,5,29,29,"43,498.58",-2,
39.7167,-106.15,802,2/2/2019,15:00,1.4,30,30,"43,498.63",-1,
39.7167,-106.15,802,2/2/2019,16:00,-1.1,30,30,"43,498.67",-1,
39.7167,-106.15,802,2/2/2019,17:00,-2.4,30,30,"43,498.71",-1,
39.7167,-106.15,802,2/2/2019,18:00,-4.8,30,30,"43,498.75",-1,
39.7167,-106.15,802,2/2/2019,19:00,-6.1,31,31,"43,498.79",1,
39.7167,-106.15,802,2/2/2019,20:00,-6.2,31,31,"43,498.83",2,
39.7167,-106.15,802,2/2/2019,21:00,-7.3,30,30,"43,498.88",2,
39.7167,-106.15,802,2/2/2019,22:00,-6,30,30,"43,498.92",1,
39.7167,-106.15,802,2/2/2019,23:00,-4.3,30,30,"43,498.96",1,
39.7167,-106.15,802,2/3/2019,0:00,-4.7,30,30,"43,499.00",1,
39.7167,-106.15,802,2/3/2019,1:00,-7,30,30,"43,499.04",2,
39.7167,-106.15,802,2/3/2019,2:00,-5.9,31,31,"43,499.08",2,
39.7167,-106.15,802,2/3/2019,3:00,-6.3,30,30,"43,499.13",0,
39.7167,-106.15,802,2/3/2019,4:00,-4.9,30,30,"43,499.17",0,
39.7167,-106.15,802,2/3/2019,5:00,-4.5,30,30,"43,499.21",0,
39.7167,-106.15,802,2/3/2019,6:00,0.4,30,30,"43,499.25",0,
39.7167,-106.15,802,2/3/2019,7:00,3.2,30,30,"43,499.29",-1,
39.7167,-106.15,802,2/3/2019,8:00,4.5,29,29,"43,499.33",-2,
